2023-10-26 14:56:05,660 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(400, 528, None))...
2023-10-26 14:56:05,666 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(500, 628, None))...
2023-10-26 14:56:05,672 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(600, 728, None))...
2023-10-26 14:56:05,679 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(700, 828, None))...
2023-10-26 14:56:05,854 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(800, 928, None))...
2023-10-26 14:56:05,861 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(900, 1028, None))...
2023-10-26 14:56:05,867 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(1000, 1128, None))...
2023-10-26 14:56:05,873 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(1036, 1164, None))...
2023-10-26 14:56:06,047 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(0, 128, None))...
2023-10-26 14:56:06,054 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(100, 228, None))...
2023-10-26 14:56:06,061 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(200, 328, None))...
2023-10-26 14:56:06,067 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(300, 428, None))...
2023-10-26 14:56:06,242 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(400, 528, None))...
2023-10-26 14:56:06,249 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(700, 828, None), slice(500, 628, None))...
